Institution,Collection Acronym,Colleciton Universally Unique Identifier,Type of Record,Record Universally Unique Identifier,Specimen Barcode,Stamped Accession Number,Kingdom,Class,Order,Family,Species Latin Name,Authority of Species,Collector,Colleciton Date,Notes,habitat,country,State,County,Collection Location,Latitude,Longitude,Elevation
DBG,DBG,,PreservedSpecimen,c104e9b2-dd81-4ace-a5ef-ded05365cc9e,DBG-F-010254,10254,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,395701ad-a9b4-4bab-bef0-cdfefa5e7ac9,DBG-F-010255,10255,Protozoa,Myxomycetes,Stemonitales,Stemonitidaceae,Lamproderma atrosporum,Meyl.,Shirley Chapman,4/29/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,58282ffe-caa7-4223-b105-0c3477baa509,DBG-F-010256,10256,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,68ba402b-1bef-46d0-a331-a91b27d2a4e2,DBG-F-001026,1026,Fungi,Agaricomycetes,Russulales,Russulaceae,Lactarius torminosus,(Schaeff.) Gray,R. Niedrach,7/26/1966,Number of specimens in set: 1,,USA,Colorado,,,,,
DBG,DBG,,PreservedSpecimen,e63fe85c-91a7-4f53-8773-40c74f55caa1,DBG-F-010260,10260,Protozoa,Myxomycetes,Physarales,Physaraceae,Physarum albescens,T. Macbr.,Shirley Chapman,4/29/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,c4fd1fe8-8a5b-4b74-aa52-5613a52c8f08,DBG-F-010262,10262,,,,,Lamproderma maculatum,Kowalski,Shirley Chapman,4/29/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,94781c1d-99b4-4390-b08c-92b75487fe78,DBG-F-010265,10265,,,,,Lamproderma maculatum,Kowalski,Shirley Chapman,4/29/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,eade76a4-a235-497c-a0b2-c039eeefd793,DBG-F-001027,1027,Fungi,Agaricomycetes,Russulales,Russulaceae,Russula brevipes var. delica,,R. Niedrach,8/15/1966,Number of specimens in set: 1,,USA,Colorado,,,,,
DBG,DBG,,PreservedSpecimen,11e5424e-a190-46b9-b8dd-3d3150d421a7,DBG-F-010272,10272,,,,,Lamproderma disseminatum,Kowalski,Shirley Chapman,4/29/1980,,,USA,Colorado,Douglas County,,39.385267,-105.022763,
DBG,DBG,,PreservedSpecimen,dc900720-1cfc-403d-b9fb-f3ec3b089e67,DBG-F-010274,10274,,,,,Lepidoderma carestianum,(Rabenh.) Rostaf.,Shirley Chapman,4/29/1980,,Snowbank,USA,Colorado,Douglas County,,39.385267,-105.022763,
"use the darwin core standard (http://rs.tdwg.org/dwc/terms/index.htm) to ""crosswalk"" these data describing fungi specimens. Basically, the headers for each of these columns are now in human-speak or what a researcher might record. Change them to darwin core terms so that they can be uploaded into a database or aggregator alongside other similar data. The act of matching column headers to their appropriate term within a standard is called crosswalking and is a common step in the upload/publication of datasets.",,,,,,,,,,,,,,,,,,,,,,,
